Id,SalePrice
1461,134751.44
1462,134751.44
1463,213009.82552
1464,213009.82552
1465,213009.82552
1466,213009.82552
1467,213009.82552
1468,213009.82552
1469,134751.44
1470,134751.44
1471,213009.82552
1472,134751.44
1473,134751.44
1474,213009.82552
1475,134751.44
1476,213009.82552
1477,213009.82552
1478,213009.82552
1479,213009.82552
1480,213009.82552
1481,213009.82552
1482,213009.82552
1483,213009.82552
1484,213009.82552
1485,213009.82552
1486,213009.82552
1487,213009.82552
1488,213009.82552
1489,213009.82552
1490,213009.82552
1491,213009.82552
1492,134751.44
1493,213009.82552
1494,213009.82552
1495,213009.82552
1496,213009.82552
1497,213009.82552
1498,213009.82552
1499,213009.82552
1500,213009.82552
1501,213009.82552
1502,213009.82552
1503,134751.44
1504,213009.82552
1505,213009.82552
1506,213009.82552
1507,213009.82552
1508,347822.90909
1509,134751.44
1510,134751.44
1511,134751.44
1512,213009.82552
1513,213009.82552
1514,213009.82552
1515,213009.82552
1516,213009.82552
1517,134751.44
1518,213009.82552
1519,213009.82552
1520,134751.44
1521,134751.44
1522,134751.44
1523,134751.44
1524,134751.44
1525,134751.44
1526,134751.44
1527,134751.44
1528,134751.44
1529,134751.44
1530,134751.44
1531,134751.44
1532,134751.44
1533,134751.44
1534,134751.44
1535,134751.44
1536,134751.44
1537,134751.44
1538,213009.82552
1539,347822.90909
1540,213009.82552
1541,134751.44
1542,134751.44
1543,134751.44
1544,134751.44
1545,134751.44
1546,134751.44
1547,134751.44
1548,134751.44
1549,134751.44
1550,213009.82552
1551,134751.44
1552,134751.44
1553,134751.44
1554,134751.44
1555,213009.82552
1556,134751.44
1557,134751.44
1558,134751.44
1559,134751.44
1560,213009.82552
1561,213009.82552
1562,134751.44
1563,134751.44
1564,134751.44
1565,134751.44
1566,134751.44
1567,134751.44
1568,213009.82552
1569,213009.82552
1570,134751.44
1571,134751.44
1572,134751.44
1573,134751.44
1574,213009.82552
1575,134751.44
1576,213009.82552
1577,213009.82552
1578,213009.82552
1579,134751.44
1580,213009.82552
1581,134751.44
1582,134751.44
1583,213009.82552
1584,213009.82552
1585,134751.44
1586,134751.44
1587,134751.44
1588,134751.44
1589,134751.44
1590,134751.44
1591,134751.44
1592,213009.82552
1593,134751.44
1594,347822.90909
1595,134751.44
1596,134751.44
1597,213009.82552
1598,213009.82552
1599,134751.44
1600,213009.82552
1601,134751.44
1602,134751.44
1603,134751.44
1604,213009.82552
1605,213009.82552
1606,213009.82552
1607,347822.90909
1608,213009.82552
1609,213009.82552
1610,213009.82552
1611,134751.44
1612,213009.82552
1613,213009.82552
1614,134751.44
1615,134751.44
1616,134751.44
1617,134751.44
1618,134751.44
1619,134751.44
1620,10000
1621,134751.44
1622,213009.82552
1623,213009.82552
1624,213009.82552
1625,134751.44
1626,213009.82552
1627,213009.82552
1628,213009.82552
1629,213009.82552
1630,213009.82552
1631,213009.82552
1632,213009.82552
1633,213009.82552
1634,213009.82552
1635,213009.82552
1636,213009.82552
1637,213009.82552
1638,213009.82552
1639,213009.82552
1640,213009.82552
1641,213009.82552
1642,213009.82552
1643,213009.82552
1644,213009.82552
1645,213009.82552
1646,213009.82552
1647,213009.82552
1648,134751.44
1649,134751.44
1650,134751.44
1651,134751.44
1652,134751.44
1653,134751.44
1654,213009.82552
1655,213009.82552
1656,213009.82552
1657,213009.82552
1658,213009.82552
1659,134751.44
